cohort_month,months_since_acquisition,active_users,cohort_size,retention_pct
2019-01-01,0,1237,1237,100.0
2019-01-01,1,13,1237,1.05
2019-01-01,2,10,1237,0.81
2019-01-01,3,9,1237,0.73
2019-01-01,4,4,1237,0.32
2019-01-01,5,5,1237,0.4
2019-01-01,6,1,1237,0.08
2019-01-01,7,2,1237,0.16
2019-01-01,8,3,1237,0.24
2019-01-01,9,4,1237,0.32
2019-01-01,10,2,1237,0.16
2019-01-01,11,3,1237,0.24
2019-01-01,12,4,1237,0.32
2019-01-01,13,8,1237,0.65
2019-01-01,14,5,1237,0.4
2019-01-01,15,5,1237,0.4
2019-01-01,16,7,1237,0.57
2019-01-01,17,2,1237,0.16
2019-01-01,18,1,1237,0.08
2019-01-01,19,5,1237,0.4
2019-01-01,20,3,1237,0.24
2019-01-01,21,2,1237,0.16
2019-01-01,22,2,1237,0.16
2019-01-01,23,4,1237,0.32
2019-01-01,24,4,1237,0.32
2019-01-01,25,2,1237,0.16
2019-01-01,26,7,1237,0.57
2019-01-01,27,4,1237,0.32
2019-01-01,28,1,1237,0.08
2019-01-01,29,2,1237,0.16
2019-01-01,30,1,1237,0.08
2019-01-01,31,2,1237,0.16
2019-01-01,32,2,1237,0.16
2019-01-01,33,1,1237,0.08
2019-01-01,35,1,1237,0.08
2019-01-01,36,1,1237,0.08
2019-01-01,39,2,1237,0.16
2019-01-01,41,1,1237,0.08
2019-01-01,42,1,1237,0.08
2019-01-01,45,1,1237,0.08
2019-01-01,47,1,1237,0.08
2019-02-01,0,1096,1096,100.0
2019-02-01,1,25,1096,2.28
2019-02-01,2,15,1096,1.37
2019-02-01,3,6,1096,0.55
2019-02-01,4,6,1096,0.55
2019-02-01,5,2,1096,0.18
2019-02-01,6,2,1096,0.18
2019-02-01,7,2,1096,0.18
2019-02-01,8,3,1096,0.27
2019-02-01,9,3,1096,0.27
2019-02-01,10,5,1096,0.46
2019-02-01,11,3,1096,0.27
2019-02-01,12,6,1096,0.55
2019-02-01,13,8,1096,0.73
2019-02-01,14,5,1096,0.46
2019-02-01,15,6,1096,0.55
2019-02-01,16,3,1096,0.27
2019-02-01,17,3,1096,0.27
2019-02-01,18,2,1096,0.18
2019-02-01,19,1,1096,0.09
2019-02-01,20,6,1096,0.55
2019-02-01,21,2,1096,0.18
2019-02-01,22,3,1096,0.27
2019-02-01,23,1,1096,0.09
2019-02-01,24,1,1096,0.09
2019-02-01,25,2,1096,0.18
2019-02-01,26,1,1096,0.09
2019-02-01,27,3,1096,0.27
2019-02-01,28,1,1096,0.09
2019-02-01,29,1,1096,0.09
2019-02-01,30,1,1096,0.09
2019-02-01,32,3,1096,0.27
2019-02-01,33,1,1096,0.09
2019-02-01,34,1,1096,0.09
2019-02-01,36,2,1096,0.18
2019-02-01,37,1,1096,0.09
2019-02-01,39,2,1096,0.18
2019-02-01,43,1,1096,0.09
2019-02-01,45,2,1096,0.18
2019-02-01,46,1,1096,0.09
2019-03-01,0,1213,1213,100.0
2019-03-01,1,18,1213,1.48
2019-03-01,2,21,1213,1.73
2019-03-01,3,7,1213,0.58
2019-03-01,5,1,1213,0.08
2019-03-01,6,4,1213,0.33
2019-03-01,8,6,1213,0.49
2019-03-01,9,1,1213,0.08
2019-03-01,10,4,1213,0.33
2019-03-01,11,2,1213,0.16
2019-03-01,12,6,1213,0.49
2019-03-01,13,3,1213,0.25
2019-03-01,14,6,1213,0.49
2019-03-01,15,1,1213,0.08
2019-03-01,16,3,1213,0.25
2019-03-01,17,4,1213,0.33
2019-03-01,18,2,1213,0.16
2019-03-01,19,5,1213,0.41
2019-03-01,22,2,1213,0.16
2019-03-01,23,4,1213,0.33
2019-03-01,24,4,1213,0.33
2019-03-01,25,1,1213,0.08
2019-03-01,26,4,1213,0.33
2019-03-01,27,1,1213,0.08
2019-03-01,28,2,1213,0.16
2019-03-01,29,2,1213,0.16
2019-03-01,30,1,1213,0.08
2019-03-01,32,1,1213,0.08
2019-03-01,33,4,1213,0.33
2019-03-01,34,1,1213,0.08
2019-03-01,37,2,1213,0.16
2019-03-01,38,3,1213,0.25
2019-03-01,39,1,1213,0.08
2019-03-01,42,1,1213,0.08
2019-03-01,43,1,1213,0.08
2019-03-01,44,1,1213,0.08
2019-04-01,0,1172,1172,100.0
2019-04-01,1,14,1172,1.19
2019-04-01,2,13,1172,1.11
2019-04-01,3,10,1172,0.85
2019-04-01,4,3,1172,0.26
2019-04-01,5,2,1172,0.17
2019-04-01,6,2,1172,0.17
2019-04-01,7,6,1172,0.51
2019-04-01,8,1,1172,0.09
2019-04-01,9,1,1172,0.09
2019-04-01,10,2,1172,0.17
2019-04-01,11,4,1172,0.34
2019-04-01,12,4,1172,0.34
2019-04-01,13,4,1172,0.34
2019-04-01,14,5,1172,0.43
2019-04-01,15,5,1172,0.43
2019-04-01,16,1,1172,0.09
2019-04-01,17,3,1172,0.26
2019-04-01,18,2,1172,0.17
2019-04-01,19,5,1172,0.43
2019-04-01,20,4,1172,0.34
2019-04-01,22,3,1172,0.26
2019-04-01,23,4,1172,0.34
2019-04-01,24,4,1172,0.34
2019-04-01,25,5,1172,0.43
2019-04-01,26,2,1172,0.17
2019-04-01,29,2,1172,0.17
2019-04-01,30,1,1172,0.09
2019-04-01,31,1,1172,0.09
2019-04-01,34,2,1172,0.17
2019-04-01,35,1,1172,0.09
2019-04-01,36,1,1172,0.09
2019-04-01,37,2,1172,0.17
2019-04-01,38,1,1172,0.09
2019-04-01,40,2,1172,0.17
2019-04-01,41,1,1172,0.09
2019-04-01,42,2,1172,0.17
2019-04-01,44,2,1172,0.17
2019-05-01,0,1130,1130,100.0
2019-05-01,1,22,1130,1.95
2019-05-01,2,8,1130,0.71
2019-05-01,3,6,1130,0.53
2019-05-01,4,6,1130,0.53
2019-05-01,5,3,1130,0.27
2019-05-01,6,3,1130,0.27
2019-05-01,7,5,1130,0.44
2019-05-01,8,7,1130,0.62
2019-05-01,9,4,1130,0.35
2019-05-01,10,3,1130,0.27
2019-05-01,11,7,1130,0.62
2019-05-01,12,4,1130,0.35
2019-05-01,13,4,1130,0.35
2019-05-01,14,3,1130,0.27
2019-05-01,15,2,1130,0.18
2019-05-01,16,2,1130,0.18
2019-05-01,17,2,1130,0.18
2019-05-01,18,1,1130,0.09
2019-05-01,19,1,1130,0.09
2019-05-01,20,3,1130,0.27
2019-05-01,21,1,1130,0.09
2019-05-01,22,2,1130,0.18
2019-05-01,25,2,1130,0.18
2019-05-01,26,2,1130,0.18
2019-05-01,27,2,1130,0.18
2019-05-01,28,4,1130,0.35
2019-05-01,29,3,1130,0.27
2019-05-01,30,2,1130,0.18
2019-05-01,31,3,1130,0.27
2019-05-01,33,2,1130,0.18
2019-05-01,34,1,1130,0.09
2019-05-01,35,1,1130,0.09
2019-05-01,36,2,1130,0.18
2019-05-01,37,3,1130,0.27
2019-05-01,39,1,1130,0.09
2019-05-01,40,2,1130,0.18
2019-05-01,41,2,1130,0.18
2019-05-01,42,1,1130,0.09
2019-06-01,0,1027,1027,100.0
2019-06-01,1,7,1027,0.68
2019-06-01,2,14,1027,1.36
2019-06-01,3,2,1027,0.19
2019-06-01,4,4,1027,0.39
2019-06-01,5,2,1027,0.19
2019-06-01,6,2,1027,0.19
2019-06-01,7,2,1027,0.19
2019-06-01,8,5,1027,0.49
2019-06-01,9,6,1027,0.58
2019-06-01,10,5,1027,0.49
2019-06-01,11,3,1027,0.29
2019-06-01,12,2,1027,0.19
2019-06-01,13,4,1027,0.39
2019-06-01,14,2,1027,0.19
2019-06-01,15,3,1027,0.29
2019-06-01,16,1,1027,0.1
2019-06-01,17,2,1027,0.19
2019-06-01,21,1,1027,0.1
2019-06-01,22,3,1027,0.29
2019-06-01,23,1,1027,0.1
2019-06-01,24,2,1027,0.19
2019-06-01,25,3,1027,0.29
2019-06-01,27,1,1027,0.1
2019-06-01,28,2,1027,0.19
2019-06-01,29,2,1027,0.19
2019-06-01,30,1,1027,0.1
2019-06-01,31,2,1027,0.19
2019-06-01,32,1,1027,0.1
2019-06-01,33,3,1027,0.29
2019-06-01,34,3,1027,0.29
2019-06-01,35,1,1027,0.1
2019-06-01,42,1,1027,0.1
2019-07-01,0,1121,1121,100.0
2019-07-01,1,19,1121,1.69
2019-07-01,2,17,1121,1.52
2019-07-01,3,4,1121,0.36
2019-07-01,4,3,1121,0.27
2019-07-01,5,4,1121,0.36
2019-07-01,6,5,1121,0.45
2019-07-01,7,6,1121,0.54
2019-07-01,8,3,1121,0.27
2019-07-01,9,2,1121,0.18
2019-07-01,10,3,1121,0.27
2019-07-01,11,4,1121,0.36
2019-07-01,12,2,1121,0.18
2019-07-01,13,1,1121,0.09
2019-07-01,14,5,1121,0.45
2019-07-01,15,1,1121,0.09
2019-07-01,16,1,1121,0.09
2019-07-01,17,1,1121,0.09
2019-07-01,18,3,1121,0.27
2019-07-01,19,1,1121,0.09
2019-07-01,20,1,1121,0.09
2019-07-01,21,2,1121,0.18
2019-07-01,22,3,1121,0.27
2019-07-01,23,3,1121,0.27
2019-07-01,24,1,1121,0.09
2019-07-01,25,3,1121,0.27
2019-07-01,26,2,1121,0.18
2019-07-01,27,1,1121,0.09
2019-07-01,28,1,1121,0.09
2019-07-01,29,2,1121,0.18
2019-07-01,31,1,1121,0.09
2019-07-01,32,3,1121,0.27
2019-07-01,37,1,1121,0.09
2019-07-01,38,3,1121,0.27
2019-07-01,39,1,1121,0.09
2019-08-01,0,1035,1035,100.0
2019-08-01,1,12,1035,1.16
2019-08-01,2,10,1035,0.97
2019-08-01,3,6,1035,0.58
2019-08-01,4,7,1035,0.68
2019-08-01,5,2,1035,0.19
2019-08-01,6,2,1035,0.19
2019-08-01,7,4,1035,0.39
2019-08-01,8,5,1035,0.48
2019-08-01,9,2,1035,0.19
2019-08-01,10,2,1035,0.19
2019-08-01,11,1,1035,0.1
2019-08-01,12,3,1035,0.29
2019-08-01,13,1,1035,0.1
2019-08-01,14,3,1035,0.29
2019-08-01,15,3,1035,0.29
2019-08-01,16,3,1035,0.29
2019-08-01,17,2,1035,0.19
2019-08-01,18,4,1035,0.39
2019-08-01,19,1,1035,0.1
2019-08-01,20,2,1035,0.19
2019-08-01,21,2,1035,0.19
2019-08-01,22,1,1035,0.1
2019-08-01,23,2,1035,0.19
2019-08-01,24,1,1035,0.1
2019-08-01,25,4,1035,0.39
2019-08-01,27,2,1035,0.19
2019-08-01,29,2,1035,0.19
2019-08-01,30,1,1035,0.1
2019-08-01,33,2,1035,0.19
2019-08-01,34,2,1035,0.19
2019-08-01,35,1,1035,0.1
2019-08-01,38,3,1035,0.29
2019-08-01,39,1,1035,0.1
2019-09-01,0,1015,1015,100.0
2019-09-01,1,17,1015,1.67
2019-09-01,2,12,1015,1.18
2019-09-01,3,5,1015,0.49
2019-09-01,4,2,1015,0.2
2019-09-01,5,3,1015,0.3
2019-09-01,6,2,1015,0.2
2019-09-01,7,5,1015,0.49
2019-09-01,8,2,1015,0.2
2019-09-01,10,1,1015,0.1
2019-09-01,11,4,1015,0.39
2019-09-01,12,3,1015,0.3
2019-09-01,13,3,1015,0.3
2019-09-01,14,4,1015,0.39
2019-09-01,15,2,1015,0.2
2019-09-01,16,2,1015,0.2
2019-09-01,17,1,1015,0.1
2019-09-01,19,1,1015,0.1
2019-09-01,20,3,1015,0.3
2019-09-01,22,1,1015,0.1
2019-09-01,23,1,1015,0.1
2019-09-01,24,1,1015,0.1
2019-09-01,25,1,1015,0.1
2019-09-01,26,2,1015,0.2
2019-09-01,27,3,1015,0.3
2019-09-01,28,1,1015,0.1
2019-09-01,31,1,1015,0.1
2019-09-01,34,2,1015,0.2
2019-09-01,35,1,1015,0.1
2019-09-01,36,1,1015,0.1
2019-09-01,37,2,1015,0.2
2019-09-01,38,1,1015,0.1
2019-09-01,39,1,1015,0.1
2019-10-01,0,1166,1166,100.0
2019-10-01,1,17,1166,1.46
2019-10-01,2,15,1166,1.29
2019-10-01,3,4,1166,0.34
2019-10-01,4,7,1166,0.6
2019-10-01,5,5,1166,0.43
2019-10-01,6,4,1166,0.34
2019-10-01,7,3,1166,0.26
2019-10-01,8,3,1166,0.26
2019-10-01,10,2,1166,0.17
2019-10-01,11,1,1166,0.09
2019-10-01,12,5,1166,0.43
2019-10-01,13,7,1166,0.6
2019-10-01,14,2,1166,0.17
2019-10-01,15,5,1166,0.43
2019-10-01,16,2,1166,0.17
2019-10-01,17,3,1166,0.26
2019-10-01,18,1,1166,0.09
2019-10-01,19,1,1166,0.09
2019-10-01,20,2,1166,0.17
2019-10-01,21,1,1166,0.09
2019-10-01,22,3,1166,0.26
2019-10-01,24,2,1166,0.17
2019-10-01,25,2,1166,0.17
2019-10-01,26,1,1166,0.09
2019-10-01,27,4,1166,0.34
2019-10-01,28,1,1166,0.09
2019-10-01,35,3,1166,0.26
2019-10-01,36,1,1166,0.09
2019-10-01,38,1,1166,0.09
2019-11-01,0,1261,1261,100.0
2019-11-01,1,12,1261,0.95
2019-11-01,2,8,1261,0.63
2019-11-01,3,5,1261,0.4
2019-11-01,4,6,1261,0.48
2019-11-01,5,5,1261,0.4
2019-11-01,6,5,1261,0.4
2019-11-01,7,3,1261,0.24
2019-11-01,8,1,1261,0.08
2019-11-01,9,3,1261,0.24
2019-11-01,10,3,1261,0.24
2019-11-01,11,4,1261,0.32
2019-11-01,12,4,1261,0.32
2019-11-01,13,3,1261,0.24
2019-11-01,14,3,1261,0.24
2019-11-01,15,2,1261,0.16
2019-11-01,16,2,1261,0.16
2019-11-01,17,1,1261,0.08
2019-11-01,18,3,1261,0.24
2019-11-01,19,3,1261,0.24
2019-11-01,20,1,1261,0.08
2019-11-01,21,1,1261,0.08
2019-11-01,22,2,1261,0.16
2019-11-01,23,2,1261,0.16
2019-11-01,24,3,1261,0.24
2019-11-01,25,2,1261,0.16
2019-11-01,26,4,1261,0.32
2019-11-01,28,1,1261,0.08
2019-11-01,29,1,1261,0.08
2019-11-01,30,1,1261,0.08
2019-11-01,32,1,1261,0.08
2019-11-01,33,2,1261,0.16
2019-11-01,37,3,1261,0.24
2019-12-01,0,1237,1237,100.0
2019-12-01,1,20,1237,1.62
2019-12-01,2,13,1237,1.05
2019-12-01,3,12,1237,0.97
2019-12-01,4,6,1237,0.49
2019-12-01,5,5,1237,0.4
2019-12-01,6,6,1237,0.49
2019-12-01,7,5,1237,0.4
2019-12-01,9,9,1237,0.73
2019-12-01,10,5,1237,0.4
2019-12-01,11,5,1237,0.4
2019-12-01,12,6,1237,0.49
2019-12-01,13,6,1237,0.49
2019-12-01,14,3,1237,0.24
2019-12-01,15,4,1237,0.32
2019-12-01,16,5,1237,0.4
2019-12-01,17,3,1237,0.24
2019-12-01,18,1,1237,0.08
2019-12-01,19,2,1237,0.16
2019-12-01,20,2,1237,0.16
2019-12-01,21,1,1237,0.08
2019-12-01,23,1,1237,0.08
2019-12-01,24,3,1237,0.24
2019-12-01,25,3,1237,0.24
2019-12-01,27,2,1237,0.16
2019-12-01,28,3,1237,0.24
2019-12-01,29,1,1237,0.08
2019-12-01,32,1,1237,0.08
2019-12-01,33,1,1237,0.08
2019-12-01,35,3,1237,0.24
2019-12-01,36,1,1237,0.08
2020-01-01,0,1234,1234,100.0
2020-01-01,1,14,1234,1.13
2020-01-01,2,18,1234,1.46
2020-01-01,3,6,1234,0.49
2020-01-01,4,8,1234,0.65
2020-01-01,5,1,1234,0.08
2020-01-01,6,3,1234,0.24
2020-01-01,7,2,1234,0.16
2020-01-01,8,5,1234,0.41
2020-01-01,9,3,1234,0.24
2020-01-01,10,1,1234,0.08
2020-01-01,11,1,1234,0.08
2020-01-01,12,5,1234,0.41
2020-01-01,13,5,1234,0.41
2020-01-01,14,4,1234,0.32
2020-01-01,15,2,1234,0.16
2020-01-01,16,1,1234,0.08
2020-01-01,20,2,1234,0.16
2020-01-01,21,1,1234,0.08
2020-01-01,22,3,1234,0.24
2020-01-01,23,1,1234,0.08
2020-01-01,24,1,1234,0.08
2020-01-01,25,3,1234,0.24
2020-01-01,26,2,1234,0.16
2020-01-01,28,3,1234,0.24
2020-01-01,30,1,1234,0.08
2020-01-01,31,1,1234,0.08
2020-01-01,32,1,1234,0.08
2020-01-01,33,2,1234,0.16
2020-01-01,34,2,1234,0.16
2020-02-01,0,1557,1557,100.0
2020-02-01,1,23,1557,1.48
2020-02-01,2,24,1557,1.54
2020-02-01,3,18,1557,1.16
2020-02-01,4,4,1557,0.26
2020-02-01,5,2,1557,0.13
2020-02-01,6,4,1557,0.26
2020-02-01,7,2,1557,0.13
2020-02-01,8,4,1557,0.26
2020-02-01,9,3,1557,0.19
2020-02-01,10,4,1557,0.26
2020-02-01,11,3,1557,0.19
2020-02-01,12,4,1557,0.26
2020-02-01,13,6,1557,0.39
2020-02-01,14,7,1557,0.45
2020-02-01,15,1,1557,0.06
2020-02-01,16,3,1557,0.19
2020-02-01,17,1,1557,0.06
2020-02-01,18,1,1557,0.06
2020-02-01,19,2,1557,0.13
2020-02-01,20,1,1557,0.06
2020-02-01,21,7,1557,0.45
2020-02-01,22,4,1557,0.26
2020-02-01,23,2,1557,0.13
2020-02-01,24,1,1557,0.06
2020-02-01,25,6,1557,0.39
2020-02-01,26,1,1557,0.06
2020-02-01,27,1,1557,0.06
2020-02-01,29,2,1557,0.13
2020-02-01,31,4,1557,0.26
2020-02-01,33,1,1557,0.06
2020-02-01,34,4,1557,0.26
2020-03-01,0,2275,2275,100.0
2020-03-01,1,58,2275,2.55
2020-03-01,2,32,2275,1.41
2020-03-01,3,24,2275,1.05
2020-03-01,4,9,2275,0.4
2020-03-01,5,12,2275,0.53
2020-03-01,6,4,2275,0.18
2020-03-01,7,7,2275,0.31
2020-03-01,8,7,2275,0.31
2020-03-01,9,5,2275,0.22
2020-03-01,10,5,2275,0.22
2020-03-01,11,5,2275,0.22
2020-03-01,12,9,2275,0.4
2020-03-01,13,5,2275,0.22
2020-03-01,14,7,2275,0.31
2020-03-01,15,1,2275,0.04
2020-03-01,16,3,2275,0.13
2020-03-01,17,2,2275,0.09
2020-03-01,18,6,2275,0.26
2020-03-01,19,2,2275,0.09
2020-03-01,20,1,2275,0.04
2020-03-01,21,6,2275,0.26
2020-03-01,23,2,2275,0.09
2020-03-01,24,6,2275,0.26
2020-03-01,25,3,2275,0.13
2020-03-01,26,3,2275,0.13
2020-03-01,27,1,2275,0.04
2020-03-01,28,2,2275,0.09
2020-03-01,29,1,2275,0.04
2020-03-01,30,3,2275,0.13
2020-03-01,32,2,2275,0.09
2020-03-01,33,1,2275,0.04
2020-04-01,0,2689,2689,100.0
2020-04-01,1,48,2689,1.79
2020-04-01,2,35,2689,1.3
2020-04-01,3,16,2689,0.6
2020-04-01,4,8,2689,0.3
